freq,psd_x,psd_y,psd_z,psd_xyz,zv(148.6),mzv(110.4),ei(140.0),2hump_ei(123.4),3hump_ei(112.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,2.619e-12,4.098e-15,6.738e-15,2.630e-12,0.998,0.997,0.997,0.994,0.991
3.1,3.267e-01,8.142e-04,1.328e-03,3.289e-01,0.997,0.993,0.993,0.987,0.980
4.6,1.775e+01,1.094e-01,2.019e-01,1.806e+01,0.995,0.989,0.988,0.979,0.966
6.2,6.934e+01,6.059e-01,1.184e+00,7.113e+01,0.992,0.984,0.983,0.969,0.951
7.7,1.224e+02,1.189e+00,2.266e+00,1.259e+02,0.990,0.978,0.977,0.958,0.933
9.2,1.962e+02,1.550e+00,2.870e+00,2.006e+02,0.987,0.972,0.971,0.946,0.914
10.8,2.279e+02,1.602e+00,2.784e+00,2.322e+02,0.984,0.966,0.964,0.933,0.892
12.3,2.562e+02,1.276e+00,2.559e+00,2.601e+02,0.981,0.958,0.957,0.919,0.869
13.8,2.642e+02,1.245e+00,2.710e+00,2.682e+02,0.977,0.951,0.949,0.904,0.844
15.4,2.946e+02,1.101e+00,2.548e+00,2.982e+02,0.973,0.942,0.941,0.888,0.818
16.9,3.357e+02,1.063e+00,2.624e+00,3.394e+02,0.969,0.933,0.932,0.871,0.791
18.5,3.773e+02,1.105e+00,3.111e+00,3.815e+02,0.965,0.924,0.922,0.853,0.762
20.0,4.242e+02,1.018e+00,2.992e+00,4.282e+02,0.960,0.914,0.913,0.834,0.732
21.5,4.939e+02,9.410e-01,3.758e+00,4.986e+02,0.956,0.904,0.902,0.814,0.702
23.1,5.759e+02,9.733e-01,4.493e+00,5.814e+02,0.951,0.893,0.891,0.794,0.671
24.6,6.714e+02,1.308e+00,4.855e+00,6.776e+02,0.945,0.882,0.880,0.773,0.639
26.2,7.457e+02,2.109e+00,4.840e+00,7.527e+02,0.940,0.870,0.868,0.751,0.606
27.7,7.702e+02,2.503e+00,5.877e+00,7.786e+02,0.934,0.857,0.856,0.729,0.574
29.2,8.789e+02,2.022e+00,1.163e+01,8.926e+02,0.928,0.845,0.843,0.706,0.541
30.8,1.065e+03,1.966e+00,2.165e+01,1.089e+03,0.922,0.832,0.830,0.683,0.508
32.3,1.299e+03,2.234e+00,3.967e+01,1.341e+03,0.916,0.818,0.817,0.660,0.476
33.9,1.626e+03,2.714e+00,6.949e+01,1.699e+03,0.909,0.804,0.803,0.636,0.443
35.4,2.063e+03,3.298e+00,1.179e+02,2.185e+03,0.902,0.790,0.789,0.612,0.412
36.9,2.755e+03,4.291e+00,2.139e+02,2.973e+03,0.895,0.775,0.775,0.587,0.380
38.5,3.417e+03,7.453e+00,3.484e+02,3.772e+03,0.888,0.760,0.760,0.563,0.350
40.0,4.164e+03,7.823e+00,5.005e+02,4.672e+03,0.880,0.745,0.745,0.538,0.320
41.5,6.364e+03,7.460e+00,8.443e+02,7.216e+03,0.873,0.729,0.730,0.514,0.291
43.1,8.725e+03,1.829e+01,1.246e+03,9.990e+03,0.865,0.713,0.714,0.489,0.264
44.6,9.524e+03,7.155e+01,1.228e+03,1.082e+04,0.857,0.697,0.698,0.465,0.237
