freq,psd_x,psd_y,psd_z,psd_xyz,zv(41.2),mzv(41.2),ei(49.2),2hump_ei(61.4),3hump_ei(74.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,2.323e-15,2.124e-14,2.722e-12,2.745e-12,0.993,0.990,0.989,0.987,0.985
3.1,6.844e-04,2.376e-03,3.330e-01,3.361e-01,0.983,0.976,0.973,0.969,0.966
4.6,9.625e-02,2.218e-01,1.901e+01,1.932e+01,0.970,0.958,0.953,0.946,0.941
6.2,5.613e-01,9.452e-01,7.326e+01,7.477e+01,0.953,0.936,0.928,0.918,0.912
7.7,1.157e+00,1.850e+00,1.328e+02,1.358e+02,0.934,0.910,0.900,0.887,0.878
9.2,1.473e+00,2.807e+00,2.325e+02,2.367e+02,0.911,0.881,0.867,0.852,0.841
10.8,1.463e+00,3.641e+00,2.989e+02,3.040e+02,0.886,0.848,0.831,0.813,0.800
12.3,1.360e+00,3.970e+00,3.251e+02,3.304e+02,0.858,0.812,0.792,0.771,0.756
13.9,1.288e+00,2.659e+00,2.913e+02,2.952e+02,0.827,0.773,0.751,0.727,0.710
15.4,1.272e+00,1.842e+00,3.230e+02,3.262e+02,0.794,0.732,0.707,0.681,0.663
16.9,1.251e+00,1.657e+00,3.742e+02,3.772e+02,0.758,0.689,0.661,0.633,0.614
18.5,1.954e+00,4.651e+00,4.521e+02,4.587e+02,0.720,0.645,0.613,0.584,0.564
20.0,1.426e+00,8.742e+00,5.173e+02,5.274e+02,0.679,0.598,0.565,0.535,0.514
21.5,1.108e+00,8.832e+00,6.301e+02,6.400e+02,0.637,0.551,0.516,0.486,0.465
23.1,1.375e+00,8.831e+00,7.695e+02,7.797e+02,0.593,0.503,0.467,0.437,0.416
24.6,2.059e+00,1.103e+01,9.146e+02,9.277e+02,0.548,0.454,0.418,0.389,0.368
26.2,1.908e+00,1.033e+01,1.080e+03,1.092e+03,0.501,0.406,0.371,0.343,0.323
27.7,1.511e+00,1.310e+01,1.365e+03,1.379e+03,0.453,0.358,0.324,0.298,0.279
29.2,1.185e+00,1.889e+01,1.813e+03,1.833e+03,0.403,0.311,0.279,0.255,0.238
30.8,9.781e-01,2.716e+01,2.564e+03,2.592e+03,0.353,0.264,0.235,0.215,0.200
32.3,1.164e+00,3.964e+01,3.950e+03,3.991e+03,0.302,0.220,0.195,0.178,0.165
33.9,2.186e+00,5.957e+01,6.533e+03,6.595e+03,0.251,0.176,0.156,0.144,0.133
35.4,5.704e+00,1.011e+02,1.180e+04,1.190e+04,0.199,0.135,0.121,0.113,0.105
36.9,1.723e+01,1.731e+02,2.203e+04,2.222e+04,0.148,0.097,0.090,0.085,0.081
38.5,4.362e+01,2.608e+02,3.771e+04,3.802e+04,0.102,0.062,0.062,0.062,0.062
40.0,6.611e+01,7.551e+02,4.689e+04,4.771e+04,0.071,0.041,0.039,0.044,0.048
41.6,7.198e+01,1.915e+03,3.818e+04,4.016e+04,0.063,0.035,0.023,0.032,0.040
43.1,7.742e+01,2.656e+03,2.698e+04,2.971e+04,0.084,0.044,0.021,0.027,0.037
44.6,6.317e+01,2.556e+03,1.860e+04,2.122e+04,0.120,0.062,0.027,0.029,0.037
46.2,2.025e+01,2.178e+03,1.324e+04,1.544e+04,0.168,0.082,0.034,0.033,0.039
47.7,1.098e+01,1.694e+03,9.036e+03,1.074e+04,0.216,0.099,0.039,0.036,0.040
49.3,2.543e+01,1.235e+03,5.949e+03,7.209e+03,0.263,0.113,0.040,0.038,0.040
50.8,3.365e+01,1.051e+03,3.769e+03,4.854e+03,0.309,0.123,0.037,0.038,0.038
52.3,2.683e+01,8.830e+02,2.451e+03,3.360e+03,0.353,0.130,0.032,0.036,0.036
53.9,2.492e+01,7.812e+02,1.702e+03,2.508e+03,0.396,0.133,0.029,0.033,0.032
55.4,2.844e+01,7.209e+02,1.247e+03,1.996e+03,0.438,0.133,0.028,0.028,0.028
56.9,3.038e+01,6.434e+02,1.021e+03,1.695e+03,0.477,0.129,0.032,0.022,0.023
58.5,2.226e+01,5.730e+02,9.324e+02,1.528e+03,0.515,0.121,0.041,0.016,0.018
60.0,3.043e+01,5.187e+02,8.259e+02,1.375e+03,0.550,0.111,0.054,0.012,0.013
61.6,5.231e+01,4.967e+02,7.068e+02,1.256e+03,0.583,0.098,0.079,0.011,0.012
63.1,5.940e+01,4.852e+02,6.406e+02,1.185e+03,0.614,0.092,0.106,0.012,0.013
64.6,5.449e+01,4.920e+02,6.343e+02,1.181e+03,0.643,0.085,0.135,0.016,0.016
66.2,8.688e+01,5.641e+02,7.207e+02,1.372e+03,0.669,0.081,0.166,0.022,0.020
67.7,8.540e+01,6.556e+02,8.650e+02,1.606e+03,0.692,0.081,0.198,0.026,0.024
69.3,5.176e+01,7.025e+02,9.165e+02,1.671e+03,0.713,0.084,0.230,0.030,0.027
70.8,3.358e+01,6.305e+02,8.120e+02,1.476e+03,0.731,0.093,0.264,0.032,0.029
72.3,2.465e+01,4.821e+02,6.228e+02,1.130e+03,0.747,0.105,0.297,0.032,0.030
73.9,1.613e+01,4.283e+02,5.359e+02,9.803e+02,0.760,0.121,0.330,0.030,0.030
75.4,1.687e+01,4.615e+02,5.407e+02,1.019e+03,0.770,0.140,0.363,0.027,0.029
77.0,1.707e+01,6.001e+02,6.329e+02,1.250e+03,0.777,0.173,0.395,0.027,0.027
78.5,1.657e+01,8.799e+02,7.938e+02,1.690e+03,0.782,0.207,0.425,0.027,0.024
80.0,1.793e+01,1.289e+03,8.956e+02,2.202e+03,0.784,0.241,0.454,0.029,0.021
81.6,1.870e+01,1.648e+03,8.805e+02,2.548e+03,0.783,0.276,0.482,0.032,0.016
83.1,2.123e+01,1.969e+03,8.973e+02,2.888e+03,0.780,0.310,0.507,0.038,0.014
84.7,2.578e+01,2.129e+03,8.707e+02,3.026e+03,0.774,0.343,0.530,0.046,0.013
86.2,3.125e+01,1.696e+03,7.195e+02,2.447e+03,0.765,0.375,0.550,0.061,0.012
87.7,3.586e+01,1.445e+03,5.934e+02,2.074e+03,0.754,0.407,0.568,0.082,0.012
89.3,3.433e+01,1.150e+03,4.795e+02,1.664e+03,0.740,0.437,0.583,0.104,0.014
90.8,2.701e+01,9.073e+02,3.515e+02,1.286e+03,0.724,0.465,0.596,0.127,0.015
92.3,1.849e+01,6.691e+02,2.235e+02,9.111e+02,0.706,0.492,0.605,0.151,0.019
93.9,1.796e+01,4.324e+02,1.232e+02,5.735e+02,0.686,0.516,0.611,0.176,0.022
95.4,1.571e+01,2.659e+02,6.396e+01,3.456e+02,0.663,0.539,0.614,0.202,0.024
97.0,1.332e+01,1.621e+02,3.397e+01,2.094e+02,0.638,0.559,0.614,0.228,0.025
98.5,1.079e+01,9.765e+01,2.130e+01,1.297e+02,0.612,0.576,0.610,0.254,0.025
100.0,9.469e+00,5.156e+01,1.605e+01,7.708e+01,0.584,0.591,0.604,0.280,0.023
101.6,1.244e+01,2.264e+01,1.943e+01,5.451e+01,0.554,0.604,0.595,0.305,0.024
103.1,1.717e+01,1.583e+01,2.949e+01,6.248e+01,0.522,0.613,0.583,0.330,0.025
104.7,1.831e+01,1.665e+01,3.928e+01,7.424e+01,0.490,0.620,0.568,0.353,0.026
106.2,1.880e+01,2.010e+01,4.522e+01,8.413e+01,0.456,0.624,0.551,0.375,0.028
107.7,1.958e+01,2.454e+01,4.846e+01,9.257e+01,0.421,0.626,0.531,0.395,0.031
109.3,2.938e+01,2.738e+01,5.588e+01,1.127e+02,0.386,0.624,0.510,0.414,0.035
110.8,3.129e+01,2.506e+01,5.421e+01,1.106e+02,0.365,0.620,0.486,0.430,0.040
112.4,3.265e+01,1.905e+01,5.173e+01,1.034e+02,0.348,0.613,0.461,0.445,0.051
113.9,3.738e+01,1.780e+01,5.362e+01,1.088e+02,0.332,0.603,0.434,0.457,0.067
115.4,5.106e+01,2.922e+01,6.691e+01,1.472e+02,0.317,0.591,0.406,0.466,0.084
117.0,8.089e+01,5.122e+01,8.633e+01,2.184e+02,0.305,0.576,0.378,0.473,0.103
118.5,7.174e+01,7.198e+01,8.406e+01,2.278e+02,0.295,0.560,0.349,0.477,0.122
120.1,7.590e+01,9.699e+01,8.942e+01,2.623e+02,0.288,0.541,0.319,0.479,0.142
121.6,8.923e+01,1.308e+02,1.046e+02,3.246e+02,0.284,0.520,0.290,0.478,0.163
