freq,psd_x,psd_y,psd_z,psd_xyz,zv(119.8),mzv(75.2),ei(41.4),2hump_ei(39.6),3hump_ei(100.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,2.764e-12,6.096e-15,1.137e-14,2.781e-12,0.998,0.995,0.986,0.978,0.990
3.1,3.320e-01,1.573e-03,2.230e-03,3.358e-01,0.996,0.989,0.966,0.943,0.977
4.6,1.899e+01,2.200e-01,3.175e-01,1.952e+01,0.993,0.982,0.940,0.898,0.961
6.2,7.292e+01,1.184e+00,1.669e+00,7.577e+01,0.990,0.973,0.907,0.844,0.942
7.7,1.264e+02,2.314e+00,3.141e+00,1.318e+02,0.986,0.963,0.869,0.781,0.921
9.2,2.019e+02,3.024e+00,4.355e+00,2.093e+02,0.982,0.952,0.826,0.713,0.897
10.8,2.190e+02,3.177e+00,4.521e+00,2.267e+02,0.978,0.940,0.779,0.640,0.871
12.3,2.442e+02,2.813e+00,3.811e+00,2.508e+02,0.973,0.926,0.728,0.564,0.844
13.9,2.551e+02,2.710e+00,3.272e+00,2.611e+02,0.968,0.912,0.675,0.488,0.814
15.4,2.836e+02,2.382e+00,3.262e+00,2.892e+02,0.963,0.896,0.619,0.412,0.783
16.9,3.147e+02,2.121e+00,3.159e+00,3.200e+02,0.957,0.880,0.561,0.340,0.750
18.5,3.443e+02,2.204e+00,3.155e+00,3.496e+02,0.951,0.862,0.503,0.271,0.716
20.0,3.757e+02,2.146e+00,2.698e+00,3.805e+02,0.945,0.844,0.445,0.209,0.681
21.6,4.349e+02,1.952e+00,2.819e+00,4.397e+02,0.938,0.824,0.387,0.153,0.645
23.1,5.028e+02,1.749e+00,2.976e+00,5.075e+02,0.930,0.804,0.331,0.105,0.609
24.6,5.729e+02,1.768e+00,2.661e+00,5.773e+02,0.923,0.783,0.278,0.066,0.572
26.2,6.416e+02,1.743e+00,2.527e+00,6.459e+02,0.915,0.761,0.227,0.039,0.535
27.7,7.247e+02,1.669e+00,2.946e+00,7.293e+02,0.907,0.738,0.179,0.028,0.498
29.3,8.143e+02,1.794e+00,3.297e+00,8.194e+02,0.898,0.715,0.135,0.031,0.461
30.8,9.029e+02,1.853e+00,3.443e+00,9.082e+02,0.889,0.691,0.096,0.037,0.425
32.3,1.028e+03,1.820e+00,3.864e+00,1.033e+03,0.880,0.667,0.063,0.038,0.390
33.9,1.209e+03,1.848e+00,6.496e+00,1.218e+03,0.870,0.642,0.036,0.036,0.355
35.4,1.429e+03,2.012e+00,1.406e+01,1.445e+03,0.860,0.617,0.021,0.030,0.321
37.0,1.739e+03,1.992e+00,3.254e+01,1.773e+03,0.850,0.591,0.024,0.021,0.289
38.5,2.062e+03,2.754e+00,7.989e+01,2.144e+03,0.840,0.565,0.033,0.012,0.258
40.0,2.311e+03,3.728e+00,1.529e+02,2.468e+03,0.829,0.539,0.039,0.011,0.228
41.6,2.904e+03,4.222e+00,2.786e+02,3.187e+03,0.817,0.512,0.040,0.016,0.200
43.1,3.751e+03,3.747e+00,4.409e+02,4.196e+03,0.806,0.486,0.035,0.024,0.174
44.7,4.682e+03,2.825e+00,5.951e+02,5.280e+03,0.794,0.459,0.030,0.030,0.149
46.2,6.319e+03,3.826e+00,8.216e+02,7.144e+03,0.782,0.433,0.028,0.032,0.127
47.7,8.048e+03,9.098e+00,9.710e+02,9.028e+03,0.770,0.406,0.031,0.030,0.106
49.3,1.180e+04,1.376e+01,1.156e+03,1.297e+04,0.757,0.380,0.041,0.027,0.088
50.8,2.118e+04,1.596e+01,1.583e+03,2.278e+04,0.744,0.354,0.059,0.027,0.072
52.4,3.207e+04,1.558e+01,2.159e+03,3.425e+04,0.731,0.328,0.090,0.031,0.059
53.9,3.105e+04,2.946e+01,2.095e+03,3.318e+04,0.718,0.302,0.124,0.040,0.049
55.4,2.028e+04,5.318e+01,1.580e+03,2.191e+04,0.704,0.277,0.160,0.058,0.042
57.0,1.491e+04,5.868e+01,1.649e+03,1.661e+04,0.690,0.252,0.197,0.090,0.038
58.5,1.200e+04,4.235e+01,1.687e+03,1.372e+04,0.676,0.227,0.236,0.125,0.037
60.1,8.466e+03,2.614e+01,1.356e+03,9.848e+03,0.662,0.203,0.276,0.164,0.037
61.6,5.757e+03,2.214e+01,9.997e+02,6.778e+03,0.648,0.180,0.316,0.203,0.038
63.1,3.931e+03,2.548e+01,7.737e+02,4.730e+03,0.633,0.157,0.355,0.244,0.039
64.7,2.720e+03,2.470e+01,6.149e+02,3.360e+03,0.618,0.135,0.393,0.284,0.040
66.2,1.959e+03,2.657e+01,4.972e+02,2.483e+03,0.603,0.113,0.429,0.323,0.040
67.8,1.426e+03,3.501e+01,4.156e+02,1.876e+03,0.587,0.093,0.463,0.359,0.039
69.3,1.060e+03,3.304e+01,3.644e+02,1.458e+03,0.572,0.073,0.495,0.392,0.038
