freq,psd_x,psd_y,psd_z,psd_xyz,zv(36.4),mzv(35.2),ei(41.4),2hump_ei(54.0),3hump_ei(65.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,3.386e-15,4.103e-15,2.590e-12,2.597e-12,0.992,0.988,0.986,0.985,0.983
3.1,8.401e-04,9.794e-04,3.546e-01,3.565e-01,0.980,0.971,0.966,0.963,0.959
4.6,1.248e-01,1.244e-01,1.730e+01,1.755e+01,0.964,0.947,0.940,0.935,0.930
6.2,5.485e-01,6.081e-01,6.653e+01,6.769e+01,0.944,0.919,0.907,0.902,0.894
7.7,1.047e+00,1.230e+00,1.243e+02,1.265e+02,0.919,0.885,0.869,0.863,0.853
9.2,1.542e+00,2.034e+00,2.177e+02,2.213e+02,0.892,0.847,0.827,0.820,0.808
10.8,1.540e+00,1.979e+00,2.689e+02,2.724e+02,0.860,0.805,0.780,0.773,0.759
12.3,1.295e+00,1.947e+00,3.124e+02,3.156e+02,0.825,0.759,0.729,0.723,0.707
13.8,1.219e+00,2.344e+00,3.392e+02,3.427e+02,0.787,0.710,0.675,0.670,0.653
15.4,1.199e+00,2.458e+00,3.953e+02,3.989e+02,0.746,0.658,0.619,0.615,0.597
16.9,1.183e+00,1.447e+00,4.583e+02,4.609e+02,0.702,0.604,0.562,0.560,0.540
18.5,1.274e+00,1.117e+00,5.843e+02,5.867e+02,0.655,0.549,0.504,0.504,0.484
20.0,1.269e+00,1.851e+00,7.502e+02,7.533e+02,0.606,0.493,0.446,0.448,0.428
21.5,1.359e+00,3.097e+00,9.106e+02,9.151e+02,0.555,0.436,0.388,0.393,0.374
23.1,1.091e+00,4.684e+00,1.167e+03,1.173e+03,0.502,0.379,0.332,0.340,0.322
24.6,1.028e+00,5.272e+00,1.591e+03,1.597e+03,0.448,0.324,0.278,0.290,0.273
26.2,1.457e+00,5.690e+00,2.213e+03,2.220e+03,0.392,0.269,0.227,0.242,0.227
27.7,2.954e+00,7.544e+00,2.818e+03,2.828e+03,0.335,0.217,0.180,0.198,0.185
29.2,4.098e+00,8.501e+00,3.327e+03,3.340e+03,0.277,0.167,0.136,0.157,0.147
30.8,6.012e+00,8.477e+00,4.177e+03,4.191e+03,0.219,0.120,0.097,0.121,0.113
32.3,1.224e+01,7.784e+00,6.067e+03,6.087e+03,0.161,0.076,0.063,0.089,0.085
33.8,2.683e+01,1.184e+01,9.585e+03,9.624e+03,0.107,0.045,0.036,0.062,0.063
35.4,4.787e+01,3.999e+01,1.218e+04,1.227e+04,0.071,0.034,0.021,0.042,0.047
36.9,7.112e+01,6.241e+01,1.104e+04,1.117e+04,0.065,0.045,0.024,0.030,0.039
38.5,8.882e+01,4.073e+01,8.846e+03,8.975e+03,0.093,0.067,0.032,0.028,0.037
40.0,4.443e+01,3.150e+01,6.408e+03,6.484e+03,0.140,0.090,0.038,0.031,0.038
41.5,1.546e+01,3.425e+01,4.294e+03,4.344e+03,0.194,0.108,0.040,0.036,0.040
43.1,1.031e+01,3.876e+01,2.795e+03,2.844e+03,0.248,0.121,0.036,0.038,0.040
44.6,1.513e+01,4.061e+01,1.995e+03,2.050e+03,0.300,0.130,0.030,0.038,0.039
46.2,8.052e+00,4.138e+01,1.520e+03,1.570e+03,0.351,0.133,0.028,0.036,0.036
47.7,6.152e+00,3.763e+01,1.164e+03,1.208e+03,0.399,0.132,0.031,0.032,0.031
49.2,6.823e+00,3.688e+01,9.144e+02,9.581e+02,0.446,0.126,0.041,0.026,0.026
50.8,1.154e+01,3.829e+01,7.289e+02,7.787e+02,0.490,0.115,0.059,0.019,0.020
52.3,2.233e+01,3.417e+01,5.768e+02,6.333e+02,0.531,0.100,0.089,0.013,0.015
53.8,2.210e+01,3.116e+01,4.360e+02,4.893e+02,0.570,0.092,0.123,0.011,0.012
55.4,1.776e+01,3.697e+01,3.661e+02,4.208e+02,0.606,0.085,0.158,0.012,0.013
56.9,1.185e+01,4.457e+01,3.181e+02,3.746e+02,0.639,0.081,0.196,0.017,0.016
58.5,1.486e+01,5.614e+01,3.147e+02,3.857e+02,0.668,0.082,0.235,0.023,0.021
60.0,2.012e+01,6.603e+01,3.465e+02,4.327e+02,0.695,0.089,0.275,0.028,0.025
61.5,1.549e+01,6.782e+01,3.669e+02,4.502e+02,0.718,0.103,0.314,0.031,0.028
63.1,9.450e+00,6.684e+01,3.409e+02,4.171e+02,0.738,0.121,0.353,0.032,0.029
64.6,7.052e+00,8.307e+01,3.377e+02,4.279e+02,0.754,0.144,0.391,0.030,0.030
66.2,5.517e+00,9.408e+01,3.527e+02,4.523e+02,0.767,0.184,0.428,0.027,0.029
67.7,5.726e+00,8.858e+01,3.581e+02,4.524e+02,0.776,0.223,0.462,0.027,0.027
69.2,7.867e+00,7.185e+01,3.430e+02,4.228e+02,0.782,0.264,0.493,0.027,0.024
70.8,1.035e+01,6.560e+01,3.147e+02,3.906e+02,0.784,0.303,0.522,0.030,0.020
72.3,1.165e+01,5.474e+01,2.546e+02,3.210e+02,0.783,0.342,0.547,0.035,0.015
73.8,1.383e+01,4.021e+01,1.744e+02,2.284e+02,0.778,0.380,0.569,0.042,0.013
75.4,1.627e+01,3.520e+01,1.226e+02,1.741e+02,0.770,0.417,0.586,0.055,0.012
76.9,1.745e+01,2.854e+01,9.121e+01,1.372e+02,0.759,0.451,0.600,0.078,0.012
78.5,1.964e+01,2.385e+01,7.773e+01,1.212e+02,0.745,0.483,0.609,0.103,0.013
80.0,1.866e+01,2.760e+01,8.174e+01,1.280e+02,0.727,0.512,0.613,0.129,0.015
81.5,1.936e+01,3.100e+01,9.119e+01,1.416e+02,0.707,0.539,0.614,0.157,0.019
83.1,2.240e+01,3.250e+01,8.873e+01,1.436e+02,0.684,0.562,0.610,0.186,0.022
84.6,2.341e+01,2.592e+01,7.118e+01,1.205e+02,0.658,0.582,0.601,0.215,0.025
86.2,2.062e+01,1.714e+01,6.489e+01,1.027e+02,0.629,0.598,0.589,0.245,0.025
87.7,1.387e+01,1.819e+01,6.503e+01,9.709e+01,0.598,0.611,0.573,0.274,0.024
89.2,1.436e+01,1.871e+01,6.513e+01,9.821e+01,0.565,0.620,0.553,0.303,0.024
90.8,1.141e+01,1.592e+01,5.722e+01,8.455e+01,0.530,0.624,0.529,0.331,0.025
92.3,9.215e+00,1.341e+01,5.140e+01,7.402e+01,0.494,0.626,0.503,0.357,0.026
93.8,9.966e+00,1.175e+01,4.494e+01,6.666e+01,0.455,0.623,0.475,0.382,0.029
95.4,1.319e+01,9.629e+00,3.908e+01,6.191e+01,0.416,0.616,0.444,0.404,0.032
96.9,1.742e+01,5.634e+00,4.348e+01,6.654e+01,0.379,0.606,0.411,0.424,0.037
98.5,1.877e+01,4.317e+00,4.934e+01,7.243e+01,0.358,0.593,0.377,0.441,0.045
100.0,1.831e+01,5.210e+00,5.336e+01,7.688e+01,0.339,0.576,0.342,0.455,0.063
101.5,1.615e+01,7.054e+00,6.392e+01,8.713e+01,0.322,0.556,0.307,0.466,0.082
103.1,1.882e+01,1.218e+01,9.683e+01,1.278e+02,0.307,0.533,0.273,0.474,0.103
104.6,2.796e+01,1.935e+01,1.443e+02,1.916e+02,0.296,0.508,0.238,0.478,0.125
106.2,3.121e+01,1.906e+01,1.593e+02,2.095e+02,0.287,0.480,0.205,0.479,0.148
107.7,3.293e+01,1.547e+01,1.459e+02,1.943e+02,0.283,0.451,0.174,0.476,0.171
109.2,3.334e+01,1.188e+01,1.274e+02,1.726e+02,0.282,0.420,0.155,0.471,0.195
110.8,3.142e+01,1.016e+01,1.194e+02,1.610e+02,0.285,0.388,0.142,0.461,0.218
112.3,3.242e+01,1.366e+01,1.183e+02,1.644e+02,0.292,0.355,0.131,0.449,0.241
113.8,3.256e+01,1.888e+01,1.254e+02,1.768e+02,0.301,0.322,0.121,0.434,0.262
115.4,4.405e+01,2.283e+01,1.353e+02,2.022e+02,0.312,0.289,0.113,0.417,0.283
116.9,5.214e+01,2.752e+01,1.467e+02,2.264e+02,0.326,0.257,0.106,0.397,0.302
118.5,4.932e+01,3.084e+01,1.488e+02,2.290e+02,0.340,0.226,0.101,0.376,0.319
120.0,4.750e+01,3.542e+01,1.412e+02,2.242e+02,0.355,0.213,0.098,0.352,0.334
121.5,5.160e+01,3.897e+01,1.361e+02,2.266e+02,0.379,0.200,0.096,0.327,0.347
123.1,6.479e+01,4.437e+01,1.399e+02,2.490e+02,0.413,0.189,0.095,0.302,0.357
124.6,5.268e+01,5.237e+01,1.397e+02,2.448e+02,0.444,0.180,0.096,0.276,0.365
126.2,4.291e+01,6.031e+01,1.422e+02,2.454e+02,0.474,0.172,0.097,0.249,0.370
127.7,5.831e+01,7.439e+01,1.517e+02,2.844e+02,0.502,0.165,0.100,0.223,0.372
129.2,8.036e+01,8.652e+01,1.647e+02,3.316e+02,0.528,0.160,0.103,0.197,0.371
130.8,6.885e+01,9.689e+01,1.602e+02,3.259e+02,0.551,0.156,0.108,0.172,0.367
132.3,1.068e+02,1.093e+02,1.654e+02,3.815e+02,0.572,0.153,0.114,0.148,0.361
133.8,9.160e+01,1.125e+02,1.559e+02,3.600e+02,0.590,0.152,0.121,0.126,0.353
135.4,8.431e+01,1.106e+02,1.517e+02,3.466e+02,0.606,0.150,0.129,0.105,0.342
136.9,1.525e+02,1.111e+02,1.592e+02,4.227e+02,0.620,0.150,0.137,0.092,0.328
138.5,2.284e+02,1.147e+02,1.621e+02,5.052e+02,0.631,0.150,0.146,0.085,0.313
140.0,2.156e+02,1.213e+02,1.479e+02,4.848e+02,0.639,0.150,0.162,0.078,0.296
141.5,1.844e+02,1.212e+02,1.340e+02,4.396e+02,0.644,0.151,0.186,0.072,0.278
143.1,2.522e+02,1.174e+02,1.344e+02,5.040e+02,0.647,0.152,0.211,0.067,0.259
144.6,2.575e+02,1.190e+02,1.312e+02,5.077e+02,0.647,0.153,0.236,0.063,0.239
146.2,2.264e+02,1.136e+02,1.306e+02,4.707e+02,0.645,0.155,0.260,0.060,0.218
147.7,2.660e+02,1.152e+02,1.358e+02,5.170e+02,0.640,0.157,0.284,0.057,0.197
149.2,2.163e+02,1.160e+02,1.194e+02,4.516e+02,0.632,0.160,0.306,0.054,0.177
150.8,3.228e+02,1.163e+02,1.346e+02,5.736e+02,0.623,0.164,0.327,0.052,0.156
152.3,2.336e+02,1.183e+02,1.245e+02,4.764e+02,0.610,0.168,0.347,0.051,0.137
153.8,2.036e+02,1.150e+02,1.198e+02,4.384e+02,0.596,0.173,0.365,0.049,0.118
155.4,1.955e+02,1.216e+02,1.150e+02,4.322e+02,0.580,0.179,0.380,0.048,0.101
156.9,2.722e+02,1.267e+02,1.250e+02,5.239e+02,0.561,0.185,0.393,0.047,0.084
158.5,2.992e+02,1.248e+02,1.315e+02,5.555e+02,0.541,0.192,0.404,0.047,0.070
160.0,4.156e+02,1.260e+02,1.541e+02,6.956e+02,0.520,0.200,0.412,0.047,0.063
161.5,4.014e+02,1.240e+02,1.551e+02,6.805e+02,0.497,0.208,0.418,0.047,0.058
163.1,3.523e+02,1.285e+02,1.485e+02,6.292e+02,0.472,0.226,0.420,0.047,0.054
164.6,4.696e+02,1.402e+02,1.705e+02,7.803e+02,0.447,0.248,0.420,0.048,0.050
166.2,3.175e+02,1.112e+02,1.648e+02,5.935e+02,0.422,0.271,0.417,0.049,0.047
167.7,3.244e+02,1.591e+02,1.917e+02,6.753e+02,0.411,0.293,0.412,0.050,0.044
169.2,4.056e+02,2.369e+02,2.312e+02,8.736e+02,0.403,0.315,0.404,0.051,0.042
170.8,3.799e+02,3.542e+02,2.475e+02,9.816e+02,0.395,0.335,0.394,0.053,0.040
172.3,7.272e+02,5.475e+02,3.156e+02,1.590e+03,0.388,0.355,0.381,0.054,0.038
173.8,4.491e+02,5.255e+02,2.688e+02,1.243e+03,0.382,0.372,0.367,0.057,0.036
175.4,5.081e+02,6.205e+02,2.850e+02,1.414e+03,0.377,0.388,0.351,0.059,0.035
176.9,5.176e+02,7.079e+02,2.925e+02,1.518e+03,0.373,0.403,0.333,0.062,0.034
178.5,4.138e+02,7.770e+02,2.795e+02,1.470e+03,0.370,0.415,0.314,0.065,0.033
180.0,3.807e+02,4.628e+02,1.698e+02,1.013e+03,0.368,0.425,0.295,0.068,0.032
181.5,3.234e+02,1.851e+02,9.432e+01,6.028e+02,0.368,0.432,0.274,0.071,0.031
183.1,3.654e+02,1.811e+02,9.825e+01,6.448e+02,0.368,0.438,0.253,0.075,0.031
184.6,4.552e+02,2.280e+02,1.171e+02,8.004e+02,0.370,0.441,0.233,0.079,0.030
186.2,2.852e+02,1.416e+02,7.718e+01,5.040e+02,0.372,0.442,0.212,0.084,0.030
187.7,2.252e+02,1.059e+02,7.023e+01,4.013e+02,0.376,0.440,0.192,0.096,0.030
189.2,2.171e+02,9.239e+01,8.093e+01,3.904e+02,0.380,0.437,0.182,0.109,0.029
190.8,2.385e+02,8.567e+01,8.077e+01,4.049e+02,0.384,0.431,0.177,0.124,0.029
192.3,1.979e+02,7.312e+01,6.463e+01,3.357e+02,0.390,0.423,0.171,0.139,0.029
193.8,5.262e+02,1.717e+02,1.343e+02,8.322e+02,0.395,0.413,0.166,0.154,0.029
195.4,3.113e+02,1.228e+02,8.183e+01,5.159e+02,0.401,0.401,0.162,0.169,0.030
196.9,2.771e+02,1.189e+02,7.909e+01,4.751e+02,0.413,0.388,0.158,0.183,0.030
198.5,2.867e+02,1.674e+02,1.120e+02,5.660e+02,0.434,0.373,0.154,0.198,0.030
200.0,2.020e+02,1.181e+02,9.547e+01,4.155e+02,0.453,0.357,0.152,0.211,0.030
201.5,1.802e+02,9.706e+01,8.720e+01,3.645e+02,0.471,0.340,0.149,0.224,0.031
203.1,4.533e+02,2.530e+02,1.388e+02,8.452e+02,0.488,0.322,0.148,0.235,0.031
204.6,7.037e+02,3.165e+02,1.805e+02,1.201e+03,0.504,0.304,0.147,0.246,0.031
206.2,3.727e+02,1.854e+02,1.404e+02,6.986e+02,0.517,0.285,0.146,0.255,0.032
207.7,5.470e+02,3.004e+02,2.457e+02,1.093e+03,0.529,0.267,0.147,0.262,0.033
209.2,4.511e+02,3.353e+02,4.138e+02,1.200e+03,0.540,0.249,0.147,0.268,0.033
210.8,4.845e+02,3.070e+02,3.492e+02,1.141e+03,0.548,0.233,0.148,0.273,0.034
212.3,4.354e+02,2.307e+02,2.696e+02,9.356e+02,0.554,0.228,0.150,0.275,0.035
213.8,1.104e+03,4.603e+02,5.365e+02,2.101e+03,0.559,0.223,0.152,0.276,0.036
215.4,9.783e+02,3.627e+02,5.277e+02,1.869e+03,0.562,0.219,0.155,0.275,0.038
216.9,5.557e+02,2.197e+02,3.049e+02,1.080e+03,0.562,0.214,0.158,0.273,0.039
218.5,3.482e+02,1.406e+02,2.213e+02,7.101e+02,0.561,0.211,0.161,0.269,0.040
220.0,5.545e+02,2.233e+02,3.430e+02,1.121e+03,0.558,0.207,0.164,0.263,0.042
221.5,9.229e+02,2.891e+02,4.505e+02,1.662e+03,0.554,0.204,0.168,0.256,0.043
223.1,9.348e+02,2.647e+02,3.751e+02,1.575e+03,0.547,0.201,0.172,0.248,0.045
224.6,5.984e+02,2.053e+02,2.624e+02,1.066e+03,0.539,0.199,0.179,0.238,0.047
226.2,8.274e+02,3.250e+02,4.289e+02,1.581e+03,0.529,0.197,0.194,0.228,0.049
227.7,5.288e+02,2.772e+02,3.920e+02,1.198e+03,0.518,0.195,0.209,0.216,0.051
229.2,5.241e+02,2.496e+02,3.406e+02,1.114e+03,0.506,0.194,0.224,0.204,0.054
230.8,4.228e+02,1.379e+02,2.374e+02,7.981e+02,0.493,0.193,0.238,0.192,0.060
232.3,5.260e+02,1.203e+02,2.494e+02,8.957e+02,0.478,0.193,0.252,0.179,0.067
233.8,7.368e+02,1.420e+02,3.330e+02,1.212e+03,0.463,0.193,0.265,0.166,0.076
235.4,4.657e+02,1.179e+02,2.895e+02,8.731e+02,0.447,0.193,0.277,0.153,0.085
236.9,3.209e+02,1.051e+02,2.365e+02,6.625e+02,0.431,0.193,0.287,0.140,0.094
238.5,2.709e+02,7.419e+01,1.529e+02,4.980e+02,0.422,0.194,0.297,0.128,0.104
240.0,3.161e+02,9.344e+01,1.584e+02,5.679e+02,0.418,0.195,0.304,0.116,0.113
241.5,4.335e+02,1.263e+02,1.780e+02,7.378e+02,0.415,0.196,0.311,0.105,0.123
243.1,3.613e+02,1.056e+02,1.829e+02,6.498e+02,0.412,0.198,0.315,0.098,0.132
244.6,1.841e+02,6.451e+01,1.532e+02,4.018e+02,0.410,0.200,0.318,0.095,0.141
246.2,1.806e+02,6.156e+01,1.192e+02,3.614e+02,0.407,0.202,0.320,0.093,0.149
247.7,1.662e+02,5.755e+01,1.081e+02,3.318e+02,0.405,0.204,0.319,0.090,0.157
249.2,1.636e+02,7.649e+01,1.090e+02,3.491e+02,0.404,0.207,0.317,0.087,0.164
250.8,2.177e+02,1.038e+02,1.322e+02,4.537e+02,0.402,0.210,0.314,0.085,0.170
252.3,1.364e+02,9.446e+01,1.032e+02,3.341e+02,0.401,0.213,0.309,0.083,0.175
253.8,1.509e+02,1.010e+02,6.379e+01,3.157e+02,0.401,0.216,0.302,0.081,0.179
255.4,1.660e+02,7.888e+01,4.420e+01,2.891e+02,0.401,0.219,0.294,0.079,0.182
256.9,1.028e+02,4.928e+01,3.247e+01,1.846e+02,0.401,0.224,0.285,0.078,0.184
258.5,6.953e+01,3.367e+01,2.800e+01,1.312e+02,0.402,0.236,0.275,0.077,0.184
260.0,5.831e+01,3.202e+01,3.383e+01,1.242e+02,0.403,0.249,0.265,0.075,0.184
261.5,5.852e+01,4.387e+01,5.138e+01,1.538e+02,0.404,0.262,0.253,0.074,0.182
263.1,1.087e+02,5.295e+01,5.684e+01,2.185e+02,0.406,0.274,0.241,0.074,0.179
264.6,1.637e+02,5.204e+01,4.853e+01,2.642e+02,0.408,0.286,0.229,0.073,0.176
266.2,9.760e+01,3.668e+01,4.316e+01,1.774e+02,0.410,0.297,0.216,0.073,0.171
267.7,4.731e+01,2.751e+01,4.193e+01,1.167e+02,0.412,0.307,0.204,0.072,0.166
269.2,5.485e+01,2.402e+01,3.131e+01,1.102e+02,0.414,0.317,0.192,0.072,0.159
